INFO 2025-04-06 18:04:52,195 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-06 18:04:52,195 autoreload Waiting for apps ready_event.
DEBUG 2025-04-06 18:04:52,277 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/recipe/recipe_app/templates with glob **/*.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/recipe/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/recipe/recipe_app/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,288 autoreload Watching dir /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django_prometheus/locale with glob **/*.mo.
DEBUG 2025-04-06 18:04:52,325 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-04-06 18:04:52,327 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-04-06 18:04:52,355 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/ipaddress.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,355 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/urllib3/response.py first seen with mtime 1732828296.852365
DEBUG 2025-04-06 18:04:52,355 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1714826478.6167338
DEBUG 2025-04-06 18:04:52,355 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/selectors.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,355 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1731529594.5263
DEBUG 2025-04-06 18:04:52,355 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/management/__init__.py first seen with mtime 1714826478.572554
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/template/loaders/__init__.py first seen with mtime 1714826478.6138427
DEBUG 2025-04-06 18:04:52,356 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/resource.cpython-310-darwin.so first seen with mtime 1654533867.0
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django_prometheus/models.py first seen with mtime 1736507883.6551173
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework/schemas/generators.py first seen with mtime 1731529594.5010715
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/asgiref/__init__.py first seen with mtime 1714826478.010007
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django_prometheus/apps.py first seen with mtime 1736507883.6543972
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/charset_normalizer/models.py first seen with mtime 1732828296.9645705
DEBUG 2025-04-06 18:04:52,356 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/threads.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/rest_framework_simplejwt/views.py first seen with mtime 1739098216.8018084
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1714826478.6240385
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1714826478.6200547
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/views/decorators/csrf.py first seen with mtime 1714826478.6247528
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/checks/security/sessions.py first seen with mtime 1714826478.5683162
DEBUG 2025-04-06 18:04:52,356 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/prometheus_client/exposition.py first seen with mtime 1736507883.6219606
